"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.953715733E1,2.614987946E1,-3.583029556E1,-1.508288574E1
2.954711533E1,2.645329285E1,-3.533608246E1,-1.554168701E1
2.955707333E1,2.666542053E1,-3.490309525E1,-1.617628479E1
2.956703133E1,2.685394669E1,-3.439148331E1,-1.687577820E1
2.957698833E1,2.707251358E1,-3.375305939E1,-1.786703491E1
2.958694633E1,2.741593552E1,-3.307721329E1,-1.875440979E1
2.959690433E1,2.753137207E1,-3.275846481E1,-1.955700684E1
2.960686233E1,2.749222565E1,-3.219601059E1,-2.027391052E1
2.961682033E1,2.760428238E1,-3.181155396E1,-2.106620789E1
2.962677833E1,2.761899185E1,-3.144861984E1,-2.144532776E1
2.963673633E1,2.781534195E1,-3.120874405E1,-2.161518860E1
2.964669333E1,2.788739395E1,-3.089499283E1,-2.170919800E1
2.965665133E1,2.814895630E1,-3.074254990E1,-2.152265930E1
2.966660933E1,2.852619934E1,-3.059120178E1,-2.141540527E1
2.967656733E1,2.894259644E1,-3.054553986E1,-2.105934143E1
2.968652533E1,2.932658386E1,-3.032931137E1,-2.062611389E1
2.969648333E1,2.979226685E1,-3.031098557E1,-2.011291504E1
2.970644133E1,3.032877350E1,-3.031740570E1,-1.918418884E1
2.971639833E1,3.079472351E1,-3.034323883E1,-1.834280396E1
2.972635633E1,3.129358292E1,-3.026139450E1,-1.714227295E1
2.973631433E1,3.174366379E1,-3.038898468E1,-1.620755005E1
2.974627233E1,3.207304382E1,-3.053567886E1,-1.525788879E1
2.975623033E1,3.246435928E1,-3.060483932E1,-1.435859680E1
2.976618833E1,3.271996307E1,-3.088382339E1,-1.386019897E1
2.977614633E1,3.282459641E1,-3.097352982E1,-1.342141724E1
2.978610333E1,3.262175369E1,-3.096578598E1,-1.315066528E1
2.979606133E1,3.269668579E1,-3.105619431E1,-1.287933350E1
2.980601933E1,3.284201813E1,-3.117874908E1,-1.217729187E1
2.981597733E1,3.321564102E1,-3.127064514E1,-1.132318115E1
2.982593533E1,3.344001389E1,-3.123040771E1,-9.924484253E0
2.983589333E1,3.374130630E1,-3.139581680E1,-8.296051025E0
2.984585033E1,3.373827362E1,-3.173474693E1,-6.733505249E0
